Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
127,rE3hWEGquaixF2XwirNbA1ds4m55LxNZPk,Bitfinex (2),48438784,,0.05,48438784
128,r3BFHL2EXZN4darZ7vH7BT7tP9tN7tyd6W,,46974481,,0.05,46974481
129,rLHzPsX6oXkzU2qL12kHCH8G8cnZv1rBJh,Kraken (1),46414503,,0.05,46414503
130,rsSxRNdYoajcAvGe6c5fNYG4vuKu4kMxDW,,45282617,,0.04,45282617
131,rUUn2LzyYDbMRcCKXyGh1m9yTd2CvJQHd7,,45111055,,0.04,45111055
132,rJoFuF6WaDxs4U94uKB9j5xomPstwRG1zN,,44419924,,0.04,44419924
133,razaE6HTEMUc9ogMYwmBT5GQk2b9qtbTnC,,43494455,,0.04,43494455
134,rHU6iE3RcZTWvSAkQuFdYVFjRHWtsFNRk7,,42671245,,0.04,42671245
135,rfzng8CpncsP2ZH2UhZPHpnE2wMoRhK9M4,,42170189,,0.04,42170189
136,rf3QABZy2pexNqfbzyxXsTwY5iXRfNE1VP,,41902599,,0.04,41902599
137,r9V6GYWRQNLgveGrn8JkCRTU9GA8Phzufy,,40616559,,0.04,40616559
138,rGBd4yrHiDbKc2Yzo7fUFjWfFXmXXMeZqy,,40017873,,0.04,40017873
139,rEjne8Fg1ejafc9Js6BPjJjXEDRBTyyZre,,40000013,,0.04,40000013
140,rG5NJxrKGUgrsoLgBjddvpE8NfqLAgA95q,,40000011,,0.04,40000011
141,rMvCasZ9cohYrSZRNYPTZfoaaSUQMfgQ8G,Bybit (4),39498240,,0.04,39498240
142,r9qV5rKHJhRGwCnbZsgND4hsuHLH8UhVE4,,39438004,,0.04,39438004
143,rGzX1VMQpextCR98yYEHS2W7DCtRPTK3WF,,36983190,,0.04,36983190
144,rrKjsvBUgcok6UL6vHwmdrM8M9mxw5ohP,,36230597,,0.04,36230597
145,rGDreBvnHrX1get7na3J4oowN19ny4GzFn,Bitget Global,35649073,20,0.04,35649093
