Rank,Wallet,Owner,Balance,XRP Locked,Percentage
139,rEjne8Fg1ejafc9Js6BPjJjXEDRBTyyZre,,"40,000,013 XRP",,"0.040
%"
140,rG5NJxrKGUgrsoLgBjddvpE8NfqLAgA95q,,"40,000,011 XRP",,"0.040
%"
141,rMvCasZ9cohYrSZRNYPTZfoaaSUQMfgQ8G,Bybit (4),"39,498,240 XRP",,"0.040
%"
142,r9qV5rKHJhRGwCnbZsgND4hsuHLH8UhVE4,,"39,438,004 XRP",,"0.039
%"
143,rGzX1VMQpextCR98yYEHS2W7DCtRPTK3WF,,"36,983,190 XRP",,"0.037
%"
144,rrKjsvBUgcok6UL6vHwmdrM8M9mxw5ohP,,"36,230,597 XRP",,"0.036
%"
145,rGDreBvnHrX1get7na3J4oowN19ny4GzFn,Bitget Global,"35,649,073 XRP",20 XRP,"0.036
%"
146,rV9JsBSFRMdcxwAFAA6wbzgdYfAHpjN9f,,"34,989,035 XRP",,"0.035
%"
147,rKUDvXFJMFu65LqPTH3Yfpii4rbKT9bSQT,,"34,587,853 XRP",,"0.035
%"
148,rUWUJ2F3aZknSd8PVutoMnxowMK792maTD,,"34,414,513 XRP",,"0.034
%"
149,rnaiDK2aDkDCCoRk3n9oyzbrtBcGPdHL2t,,"34,309,179 XRP",,"0.034
%"
150,rMn4SutY41iGtMC87EE9BZ8hFSgBLCZdog,,"33,507,237 XRP",,"0.034
%"
151,rJw1o6M4HhQ7i5gbuhkRdZQSg5bDMFYS4W,,"32,977,448 XRP",,"0.033
%"
152,rEXmdJZRfjXN3XGVdz99dGSZpQyJqUeirE,,"32,098,412 XRP",,"0.032
%"
153,rBjDVYtYxkBjcSbzMkSfnc31iSw8nsGR74,,"30,999,900 XRP",,"0.031
%"
154,rfycjrGRMav6xcxcWyQ5JKjBFQXbog5K6q,,"30,999,853 XRP",,"0.031
%"
155,rGNVd8ypXAAtExDGsJ7sV3feoPdwJ9wwAe,,"30,686,027 XRP",,"0.031
%"
156,rKuP5k67YtHzsCmSQp7votF7u4afp4uNcm,,"30,323,899 XRP",,"0.030
%"
157,rKbs6qhu8orUJTdNf2q8zbBHGLKJbRYgr1,,"30,123,998 XRP",,"0.030
%"
158,rPnETQb36p2UzP3bWPuqUeUicxTb9NLEdt,,"30,000,022 XRP",,"0.030
%"
159,rhDgyndaMdJXHGYHiSafy6aLynfcjofwmy,,"30,000,018 XRP",,"0.030
%"
160,rPvKH3CoiKnne5wAYphhsWgqAEMf1tRAE7,CoinJar,"29,619,752 XRP",,"0.030
%"
161,rsTtGH7a9mom5X8Y9D3kxroXWvA912RgUZ,Coinbase (Cold 176),"29,576,571 XRP",,"0.030
%"
162,rEWBvZyGHsQfofVJrmWRyvu7vhBB53r622,Coinbase (Cold 343),"29,532,544 XRP",,"0.030
%"
163,rGriTJKG1i71mLssnwqoV6gPbSEv45nqur,Coinbase (Cold 236),"29,532,544 XRP",,"0.030
%"
164,r9ZMdQ63S8NvgdCyLpfhkdbWDfQ57eKD9c,Coinbase (Cold 399),"29,532,544 XRP",,"0.030
%"
165,r417XbsvuBJpkMC4eHtGpvAHxgC24mb6Nc,Coinbase (Cold 193),"29,532,544 XRP",,"0.030
%"
166,rPeuuqP9rNhskesoA3ferKfp6VT5SvLAzU,Coinbase (Cold 299),"29,532,544 XRP",,"0.030
%"
167,rNaJVWotxZ9nGTBiHRWR6LR1deXHa8FRLf,Coinbase (Cold 418),"29,532,544 XRP",,"0.030
%"
168,raMRJ2d3djqwSUBK28W31R7aJQfK21zU1C,Coinbase (Cold 456),"29,532,544 XRP",,"0.030
%"
169,rGG4LZruYFJ34PNCi1doapgA1hynz3gxX7,Coinbase (Cold 125),"29,532,544 XRP",,"0.030
%"
170,rBxDDgkamywW7WRegN4gVrGMwHTbdhnt8w,Coinbase (Cold 323),"29,532,544 XRP",,"0.030
%"
171,r9mkuV6bpvok7SZ8Zargiw5KzZHDFbaApy,Coinbase (Cold 285),"29,532,544 XRP",,"0.030
%"
172,rnVcQzWJP2sJbJF3GgvdAeqveW1V7dT2Vq,Coinbase (Cold 283),"29,532,544 XRP",,"0.030
%"
173,rNSFNMo5kfmZWR5Ryb3ZVEMm1ZncxwzMqa,,"29,404,515 XRP",,"0.029
%"
174,rLW9gnQo7BQhU6igk5keqYnH3TVrCxGRzm,Bitfinex (1),"29,128,366 XRP",500 XRP,"0.029
%"
175,rnnFFYfPTLBqqeQfsvmyjKKKsK8FCp4Y4R,,"27,983,802 XRP",,"0.028
%"
176,rntSEfdZsxinHymMJDTbxFfZcgwPLBtPb9,,"27,983,801 XRP",,"0.028
%"
